Doubles,,,,,,,
Wellington 1,Wellington 2,Harrow 1,Harrow 2,Wellington 3,Wellington 4,Harrow 3,Harrow 4
Eton 2,Eton 1,Abingdon 2,Abingdon 1,Eton 4,Eton 3,Abingdon 4,Abingdon 3
Doubles,,,,,,,
Wellington 1,Wellington 2,Harrow 1,Harrow 2,Wellington 3,Wellington 4,Harrow 3,Harrow 4
Eton 1,Eton 2,Abingdon 1,Abingdon 2,Eton 3,Eton 4,Abingdon 3,Abingdon 4
,,,,,,,
Doubles,,,,,,,
Wellington 1,Wellington 2,Harrow 1,Harrow 2,Wellington 3,Wellington 4,Harrow 3,Harrow 4
Abingdon 2,Abingdon 1,Eton 2,Eton 1,Abingdon 4,Abingdon 3,Eton 4,Eton 3
Doubles,,,,,,,
Wellington 1,Wellington 2,Harrow 1,Harrow 2,Wellington 3,Wellington 4,Harrow 3,Harrow 4
Abingdon 1,Abingdon 2,Eton 1,Eton 2,Abingdon 3,Abingdon 4,Eton 3,Eton 4
,,,,,,,
Doubles,,,,,,,
Eton 1,Eton 2,Harrow 1,Harrow 2,Eton 3,Eton 4,Harrow 3,Harrow 4
Abingdon 2,Abingdon 1,Wellington 2,Wellington 1,Abingdon 4,Abingdon 3,Wellington 4,Wellington 3
Doubles,,,,,,,
Eton 1,Eton 2,Harrow 1,Harrow 2,Eton 3,Eton 4,Harrow 3,Harrow 4
Abingdon 1,Abingdon 2,Wellington 1,Wellington 2,Abingdon 3,Abingdon 4,Wellington 3,Wellington 4